Image,Algorithm,New Size,Raw,% Saved,Time,Verified,MSE,PSNR
7.1.07.tiff,Run-length encoding,262656,262144,-0.1953125,0.5500717163085938,100,,
7.1.07.tiff,Huffman coding,223576,262144,14.7125244140625,2.9497427940368652,100,,
7.1.07.tiff,LZ77,274390,262144,-4.671478271484375,130.6626205444336,100,,
7.1.08.tiff,Run-length encoding,262656,262144,-0.1953125,0.5102682113647461,100,,
7.1.08.tiff,Huffman coding,186634,262144,28.804779052734375,2.873629331588745,100,,
7.1.08.tiff,LZ77,170404,262144,34.99603271484375,126.02848958969116,100,,
7.1.09.tiff,Run-length encoding,262656,262144,-0.1953125,0.6775004863739014,100,,
7.1.09.tiff,Huffman coding,229034,262144,12.630462646484375,3.7991533279418945,100,,
7.1.09.tiff,LZ77,237418,262144,9.432220458984375,106.35088920593262,100,,
7.1.10.tiff,Run-length encoding,262656,262144,-0.1953125,0.4564809799194336,100,,
7.1.10.tiff,Huffman coding,219858,262144,16.130828857421875,3.0485432147979736,100,,
7.1.10.tiff,LZ77,217506,262144,17.028045654296875,152.50539207458496,100,,
7.2.01.tiff,Run-length encoding,1049600,1048576,-0.09765625,2.6593985557556152,100,,
7.2.01.tiff,Huffman coding,836670,1048576,20.20893096923828,14.566834211349487,100,,
7.2.01.tiff,LZ77,890754,1048576,15.051078796386719,491.0840790271759,100,,
boat.512.tiff,Run-length encoding,262656,262144,-0.1953125,0.5099987983703613,100,,
boat.512.tiff,Huffman coding,264287,262144,-0.8174896240234375,2.743377447128296,100,,
boat.512.tiff,LZ77,338878,262144,-29.271697998046875,128.78816747665405,100,,
house.tiff,Run-length encoding,260650,262144,0.569915771484375,0.4772067070007324,100,,
house.tiff,Huffman coding,264544,262144,-0.91552734375,2.228576898574829,100,,
house.tiff,LZ77,304164,262144,-16.02935791015625,119.83495330810547,100,,
ruler.512.tiff,Run-length encoding,57154,262144,78.19747924804688,0.22251129150390625,100,,
ruler.512.tiff,Huffman coding,32768,262144,87.5,2.313666820526123,100,,
ruler.512.tiff,LZ77,184632,262144,29.5684814453125,7818.9791622161865,100,,
